,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Mean,0.018,0.014,0.028,0.007
SA-Sd,0.021,0.014,0.032,0.001
NSA-Mean,0.016,0.014,0.011,0.012
NSA-Sd,0.016,0.009,0.006,0.005
