,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.14400000000000002,0.473,0.608,0.002
SA-Mean,0.01,0.012,0.01,0.0
NSA-Sum,17.121,15.339,16.665,15.83
NSA-Mean,0.018000000000000002,0.016,0.017,0.013000000000000001
