,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Mean,0.011,0.019,0.024,0.009
SA-Sd,0.004,0.017,0.022,0.001
NSA-Mean,0.016,0.025,0.024,0.019
NSA-Sd,0.012,0.018,0.018,0.012
