,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Mean,0.01,0.009,0.018,0.0
SA-Sd,0.016,0.013,0.024,0.0
NSA-Mean,0.011,0.011,0.009,0.009
NSA-Sd,0.012,0.008,0.006,0.006
