,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Mean,0.006,0.017,0.023,0.0
SA-Sd,0.008,0.028,0.034,0.0
NSA-Mean,0.012,0.023,0.022,0.015
NSA-Sd,0.01,0.021,0.019,0.012
