,CLF Original,CLF Original Blind,CLF Mitigated,CLF Mitigated Blind,Best Score,Delta O-OB,Delta M-MB,Delta O-M,Delta OB-MB
F1 Score,0.677,0.641,0.571,0.667,CLF Original,0.036,0.095,0.105,0.026
Discrimination,0.204,0.123,-0.04,0.205,CLF Mitigated,0.081,0.245,0.244,0.082
