,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Mean,0.018,0.015,0.029,0.007
SA-Sd,0.021,0.015,0.032,0.001
NSA-Mean,0.016,0.016,0.014,0.013
NSA-Sd,0.016,0.012,0.01,0.005
