,CLF Original,CLF Original Blind,CLF Mitigated,CLF Mitigated Blind,Best Score,Delta O-OB,Delta M-MB,Delta O-M,Delta OB-MB
F1 Score,0.483,0.462,0.354,0.366,CLF Original,0.022,0.011,0.129,0.096
Discrimination,0.096,0.169,-0.129,-0.116,CLF Mitigated,0.072,0.014,0.226,0.284
