,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.8,0.14400000000000002,0.659,0.005
SA-Mean,0.006999999999999999,0.006,0.013000000000000001,0.001
NSA-Sum,14.762,15.522,16.02,14.142999999999999
NSA-Mean,0.021,0.016,0.019,0.025
