,CLF Original,CLF Original Blind,CLF Mitigated,CLF Mitigated Blind,Best Score,Delta O-OB,Delta M-MB,Delta O-M,Delta OB-MB
F1 Score,0.409,0.41200000000000003,0.5,0.42100000000000004,CLF Mitigated,0.003,0.079,0.091,0.009000000000000001
Discrimination,0.077,0.109,0.036000000000000004,-0.047,CLF Mitigated Blind,0.032,0.083,0.042,0.156
