,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.004,0.0,0.004,0.001
SA-Mean,0.0,0.0,0.0,0.0
NSA-Sum,0.728,0.04,0.583,0.16
NSA-Mean,0.004,0.001,0.004,0.002
