,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.019,0.053,0.117,0.045
SA-Mean,0.002,0.002,0.002,0.002
NSA-Sum,3.371,3.826,3.865,3.347
NSA-Mean,0.006,0.007,0.007,0.006
