,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.0,0.06,0.054,0.006
SA-Mean,0.0,0.001,0.001,0.0
NSA-Sum,0.0,1.278,1.411,0.154
NSA-Mean,0.0,0.012,0.011,0.002
