,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.0,0.018,0.017,0.0
SA-Mean,0.0,0.0,0.0,0.0
NSA-Sum,0.004,1.015,1.059,0.079
NSA-Mean,0.0,0.008,0.008,0.001
