,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.005,0.019,0.009,0.005
SA-Mean,0.001,0.0,0.001,0.0
NSA-Sum,0.648,0.179,0.604,0.17
NSA-Mean,0.003,0.002,0.003,0.002
