,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.175,0.123,0.069,0.001
SA-Mean,0.001,0.0,0.001,0.0
NSA-Sum,3.766,4.064,3.873,3.951
NSA-Mean,0.004,0.003,0.005,0.005
