,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.196,0.49,0.318,0.024
SA-Mean,0.002,0.003,0.003,0.002
NSA-Sum,3.644,4.151,3.743,3.801
NSA-Mean,0.006,0.007,0.008,0.009
