,CLF Original,CLF Original Blind,CLF Mitigated,CLF Mitigated Blind,Best Score,Delta O-OB,Delta M-MB,Delta O-M,Delta OB-MB
Accuracy,0.767,0.74,0.737,0.757,CLF Original,0.027,0.02,0.03,0.017
Precision,0.691,0.627,0.567,0.682,CLF Original,0.064,0.114,0.123,0.055
Recall,0.371,0.301,0.349,0.347,CLF Original,0.07,0.002,0.022,0.046
F1 Score,0.478,0.396,0.428,0.444,CLF Original,0.082,0.016,0.05,0.048
Discrimination,0.212,0.219,0.191,0.198,CLF Mitigated,0.007,0.007,0.021,0.021
