,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.165,0.068,0.233,0.0
SA-Mean,0.001,0.0,0.0,0.0
NSA-Sum,3.672,3.431,3.62,3.463
NSA-Mean,0.004,0.004,0.005,0.004
