,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.027,0.01,0.017,0.0
SA-Mean,0.001,0.001,0.002,0.0
NSA-Sum,0.55,0.922,0.73,0.722
NSA-Mean,0.003,0.002,0.005,0.005
