,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.0,0.023,0.016,0.007
SA-Mean,0.0,0.001,0.001,0.0
NSA-Sum,0.0,1.13,1.256,0.148
NSA-Mean,0.0,0.012,0.011,0.002
