,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.0,0.016,0.017,0.0
SA-Mean,0.0,0.0,0.0,0.0
NSA-Sum,0.003,1.08,1.111,0.07
NSA-Mean,0.0,0.008,0.008,0.001
