,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.194,0.293,0.185,0.086
SA-Mean,0.002,0.003,0.003,0.002
NSA-Sum,3.644,4.11,3.698,4.056
NSA-Mean,0.006,0.006,0.008,0.008
