,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.019,0.067,0.149,0.063
SA-Mean,0.002,0.003,0.002,0.002
NSA-Sum,3.371,3.72,3.561,3.329
NSA-Mean,0.006,0.006,0.007,0.006
