,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.023,0.038,0.017,0.0
SA-Mean,0.001,0.0,0.001,0.0
NSA-Sum,0.607,0.735,0.689,0.651
NSA-Mean,0.003,0.003,0.004,0.003
