,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.001,0.0,0.002,0.002
SA-Mean,0.0,0.0,0.0,0.0
NSA-Sum,0.7490000000000001,0.081,0.609,0.19
NSA-Mean,0.003,0.001,0.004,0.002
