,CLF Original,CLF Original Blind,CLF Mitigated,CLF Mitigated Blind,Best Score,Delta O-OB,Delta M-MB,Delta O-M,Delta OB-MB
F1 Score,0.497,0.427,0.464,0.446,CLF Original,0.07,0.018,0.033,0.019
Discrimination,0.205,0.222,0.226,0.215,CLF Original,0.017,0.01,0.021,0.007
