,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.165,0.069,0.23399999999999999,0.001
SA-Mean,0.001,0.0,0.0,0.0
NSA-Sum,3.733,3.647,3.88,3.5
NSA-Mean,0.004,0.004,0.005,0.004
