,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.232,1.809,1.314,0.296
SA-Mean,0.014,0.03,0.039,0.011
NSA-Sum,15.371,15.51,15.074,15.827
NSA-Mean,0.012,0.012,0.014,0.014
