,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.578,0.272,0.863,0.013
SA-Mean,0.006,0.024,0.03,0.001
NSA-Sum,17.163,15.66,17.19,15.827
NSA-Mean,0.014,0.023,0.024,0.016
