,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.435,0.692,0.358,0.181
SA-Mean,0.009,0.016,0.019,0.008
NSA-Sum,17.111,15.099,14.95,17.138
NSA-Mean,0.016,0.016,0.016,0.018
