,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.376,0.405,0.149,0.278
SA-Mean,0.01,0.007,0.008,0.01
NSA-Sum,9.88,12.423,11.063,10.795
NSA-Mean,0.031,0.016,0.023,0.027
