,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.427,1.252,1.685,0.005
SA-Mean,0.008,0.02,0.027,0.0
NSA-Sum,15.213,13.918,14.041,15.042
NSA-Mean,0.003,0.006,0.01,0.013
