,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.38,0.468,0.224,0.359
SA-Mean,0.01,0.006,0.008,0.009
NSA-Sum,9.965,11.578,11.4,10.387
NSA-Mean,0.031,0.017,0.023,0.027
