,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.355,0.262,0.174,0.138
SA-Mean,0.013,0.011,0.015,0.01
NSA-Sum,16.51,16.093,16.194,16.405
NSA-Mean,0.012,0.011,0.013,0.014
