,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.224,1.876,2.101,0.001
SA-Mean,0.008,0.02,0.027,0.0
NSA-Sum,15.094,14.651,14.598,15.116
NSA-Mean,0.004,0.005,0.011,0.012
