,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.227,1.159,0.705,0.258
SA-Mean,0.014,0.029,0.038,0.011
NSA-Sum,15.307,16.714,15.23,16.784
NSA-Mean,0.012,0.012,0.014,0.016
