,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.508,0.324,0.835,0.003
SA-Mean,0.007,0.002,0.009,0.0
NSA-Sum,15.763,15.049,15.097,15.711
NSA-Mean,0.003,0.002,0.008,0.008
