,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.766,0.049,0.737,0.0
SA-Mean,0.01,0.002,0.012,0.0
NSA-Sum,1.806,1.717,1.761,1.757
NSA-Mean,0.003,0.002,0.009,0.009
