,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.309,0.349,0.659,0.002
SA-Mean,0.007,0.002,0.009,0.0
NSA-Sum,15.646,15.025,15.062,15.598
NSA-Mean,0.004,0.002,0.008,0.008
