,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.359,0.213,0.256,0.137
SA-Mean,0.013,0.01,0.015,0.01
NSA-Sum,15.767,15.089,14.99,15.856
NSA-Mean,0.012,0.011,0.012,0.012
