,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.785,0.267,0.527,0.012
SA-Mean,0.007,0.006,0.013,0.001
NSA-Sum,15.35,15.744,16.085,14.788
NSA-Mean,0.021,0.016,0.018,0.025
