,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.436,0.693,1.014,0.166
SA-Mean,0.014,0.015,0.013,0.01
NSA-Sum,20.486,16.994,19.294,18.187
NSA-Mean,0.021,0.017,0.024,0.02
