,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.705,1.181,1.079,0.001
SA-Mean,0.011,0.008,0.018,0.0
NSA-Sum,14.934,16.747,13.781,17.9
NSA-Mean,0.01,0.014,0.009,0.01
