,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.294,1.045,0.912,0.117
SA-Mean,0.01,0.02,0.024,0.009
NSA-Sum,17.52,23.924,23.105,18.386
NSA-Mean,0.023,0.025,0.03,0.022
