,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.361,1.233,0.961,0.181
SA-Mean,0.011,0.021,0.025,0.01
NSA-Sum,17.511,24.74,23.565,18.737
NSA-Mean,0.023,0.025,0.029,0.023
