,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.93,0.661,1.075,0.0
SA-Mean,0.01,0.003,0.011,0.0
NSA-Sum,15.146,14.699,13.864,15.981
NSA-Mean,0.01,0.011,0.006,0.008
