,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.613,0.62,0.337,0.123
SA-Mean,0.02,0.015,0.029,0.008
NSA-Sum,15.078,17.654,15.687,17.046
NSA-Mean,0.015,0.015,0.012,0.016
