,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.201,0.2,0.363,0.004
SA-Mean,0.01,0.013,0.01,0.0
NSA-Sum,17.098,14.751,16.716,15.153
NSA-Mean,0.018,0.016,0.017,0.014
