,CLF Original,CLF Original Blind,CLF Mitigated,CLF Mitigated Blind,Best Score,Delta O-OB,Delta M-MB,Delta O-M,Delta OB-MB
Accuracy,0.76,0.727,0.743,0.777,CLF Mitigated Blind,0.033,0.033,0.017,0.05
Precision,0.606,0.516,0.546,0.702,CLF Mitigated Blind,0.09,0.156,0.06,0.186
Recall,0.379,0.462,0.588,0.342,CLF Mitigated,0.084,0.246,0.209,0.121
F1 Score,0.461,0.479,0.554,0.444,CLF Mitigated,0.019,0.11,0.093,0.035
Discrimination,0.279,0.212,-0.062,0.155,CLF Mitigated,0.067,0.218,0.341,0.057
