,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.144,0.473,0.608,0.002
SA-Mean,0.01,0.012,0.01,0.0
NSA-Sum,17.121,15.339,16.665,15.83
NSA-Mean,0.018,0.016,0.017,0.013
