,CLF Original,CLF Original Blind,CLF Mitigated,CLF Mitigated Blind,Best Score,Delta O-OB,Delta M-MB,Delta O-M,Delta OB-MB
Accuracy,0.7980476433306622,0.7985779849930793,0.8002127194580024,0.7985838129234355,CLF Mitigated,0.0005303416624170554,0.0016289065345669318,0.002165076127340182,5.827930356194777e-06
Precision,0.7083651286904377,0.6998822324628776,0.7136009959539372,0.6894662552516887,CLF Mitigated,0.008482896227560044,0.024134740702248525,0.005235867263499561,0.01041597721118892
Recall,0.4084106369820656,0.4246340960626675,0.41657390228818797,0.443001443001443,CLF Mitigated Blind,0.01622345908060191,0.026427540713255038,0.00816326530612238,0.01836734693877551
F1 Score,0.5174375992822124,0.5282475065539816,0.5251613909944309,0.5391775128401921,CLF Mitigated Blind,0.010809907271769115,0.014016121845761176,0.007723791712218486,0.010930006286210547
Discrimination,0.18685206406737198,0.12079924313087975,0.04520560722756717,0.11766116781707225,CLF Mitigated,0.06605282093649223,0.07245556058950509,0.1416464568398048,0.003138075313807498
