,CLF Original,CLF Original Blind,CLF Mitigated,CLF Mitigated Blind,Best Score,Delta O-OB,Delta M-MB,Delta O-M,Delta OB-MB
Accuracy,0.767,0.76,0.763,0.753,CLF Original,0.007,0.01,0.003,0.007
Precision,0.604,0.589,0.596,0.562,CLF Original,0.015,0.034,0.009,0.027
Recall,0.454,0.391,0.442,0.478,CLF Mitigated Blind,0.063,0.036,0.012,0.087
F1 Score,0.505,0.459,0.495,0.507,CLF Mitigated Blind,0.046,0.012,0.01,0.048
Discrimination,0.257,0.157,-0.031,0.189,CLF Mitigated,0.1,0.22,0.288,0.032
