,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.177,0.195,0.217,0.0
SA-Mean,0.011,0.005,0.012,0.0
NSA-Sum,1.575,1.547,1.503,1.618
NSA-Mean,0.009,0.009,0.005,0.008
