,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.045,0.782,0.777,0.003
SA-Mean,0.006,0.016,0.022,0.0
NSA-Sum,16.037,20.528,20.015,16.615
NSA-Mean,0.02,0.023,0.026,0.021
