,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.843,0.889,0.889,0.001
SA-Mean,0.011,0.009,0.019,0.0
NSA-Sum,14.673,15.141,13.82,15.994
NSA-Mean,0.01,0.011,0.01,0.01
