,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.224,0.148,0.21,0.0
SA-Mean,0.012,0.01,0.019,0.0
NSA-Sum,1.197,1.598,1.218,1.37
NSA-Mean,0.008,0.01,0.009,0.01
