,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,1.063,0.59,1.378,0.001
SA-Mean,0.01,0.004,0.011,0.0
NSA-Sum,14.589,14.327,13.215,15.701
NSA-Mean,0.01,0.01,0.006,0.01
