,clfOrig-clfOrigBlind,clfMit-clfMitBlind,clfOrig-clfMit,clfOrigBlind-clfMitBlind
SA-Sum,0.036,0.578,0.582,0.001
SA-Mean,0.006,0.016,0.021,0.0
NSA-Sum,16.982,21.636,21.274,17.413
NSA-Mean,0.019,0.023,0.026,0.021
